english,spanish,song,artist
"49th Song Lyrics Money, women, guns, I'm such a simple man I picked my own cards up out the deck and made a winning hand Made sure all my people got a slice just like the Christmas ham","49 ° letra de letras de canciones, dinero, mujeres, armas, soy un hombre tan simple. Recogí mis propias cartas en el mazo e hice una mano ganadora se aseguró de que toda mi gente obtuviera una rebanada como el jamón de Navidad",Song 4,Prince
"Brother spent fifteen with that white girl, but he not will.i.am Nothin' beats a motherfuckin' failure but a try Never seen a man cry until he couldn't feed his child All the things I seen in life done made it hard to crack a smile No matter what, I'm never throwin' in the towel","El hermano pasó quince años con esa niña blanca, pero él no lo hará. No tengo nada más que un fracaso de mi hijo de puta, pero un intento nunca vi a un hombre llorar hasta que no pudo alimentar a su hijo todas las cosas que vi en la vida hechas fue difícil romper una sonrisa sin importar qué, nunca estoy tirando en la toalla",Song 4,Prince
"Glock on me right now (Now), don't watch me, watch out, ayy I got all this bread, now I need somethin' to wash it down (Down) Don't know what's in store for me that don't involve a strainer and saran wrap All these drums I got with me, think I could start a band camp Know I'm coldhearted, mama birthed me in the Frigidaire The devil left a post-it note for me, it said to give 'em hell","Glock en mí ahora mismo (ahora), no me mires, ten cuidado, ayy obtuve todo este pan, ahora necesito algo para lavarlo (abajo) No sé qué me espera que no involucren un filtro y saran envuelve todos estos tambores que obtuve conmigo, creo que podría comenzar un campamento de banda que estoy en frío, mamá me dio a luz en el frigid.",Song 4,Prince
"I'm from Parkway Village, it's a living hell Come through with all that flossing, might as well just ring a dinner bell","Soy de Parkway Village, es un infierno que viene con todo ese hilo dental, también podría tocar una campana",Song 4,Prince
"The Spanish Song (Take 2) Lyrics I know just like but I just don't waste But I roam, as I find a","La canción española (tomar 2) letras que sé como pero simplemente no lo desperdicio, pero deambule, mientras encuentro un",Song 2,Bob Dylan
"She laughed in my face and she ran away And I took my , I lay down","Ella se rió en mi cara y se escapó y me tomé, me acostaré",Song 2,Bob Dylan
For the dreams that came to you when so young Told of a life where Spring is sprung You would seem so frail in the cold of the night When the armies of emotion go out to fight But while the Earth sinks to its grave,"Por los sueños que te llegaron cuando tan joven se contó de una vida en la que surge la primavera, parecerías tan frágil en el frío de la noche cuando los ejércitos de la emoción salen a pelear, pero mientras la tierra se hunde en su tumba",Song 5,Drake
You sail to the sky on the crest of a wave So forget this cruel world where I belong I'll just sit and wait and sing my song And if one day you should see me in the crowd,"Navegas hacia el cielo en la cresta de una ola, así que olvida este mundo cruel donde pertenezco, solo me sentaré y esperaré y cantaré mi canción y si algún día me vieras en la multitud.",Song 5,Drake
Song 5 Lyrics Marroon 3 on the beat Your mom likes to eat My beef curtains Got a weekly meeting with the sister's pilates class Sometimes I feel like I forget what it's like to feel the warmth of self-acceptance,"Letras de la canción 5 Marroon 3 En el ritmo a tu mamá le gusta comer mis cortinas de carne que obtuvieron una reunión semanal con la clase de Pilates de la hermana, a veces siento que olvido lo que es sentir la calidez de la autoaceptación",Song 5,Maroon 5
It's my turn to spit (Whoa) It's your time to piss (Yeah) It's my turn to spit (Woah) The clock is ticking (Yeah) Your mom I'm licking,Es mi turno de Spit (Whoa) Es tu momento de orinar (sí) Es mi turno de Spit (Woah) El reloj está marcando (sí) Tu mamá estoy lamiendo,Song 5,Maroon 5
"Bob Dylan’s 115 Song Types Lyrics I have this theory that Bob Dylan is a man of a thousand faces, and that his songs tend to fit into several themes. This is a list, not necessarily in any order, that might never be finished. 1. The Outlaw ""John Wesley Harding""","Letras de 115 tipos de canciones de Bob Dylan Tengo esta teoría de que Bob Dylan es un hombre de mil caras, y que sus canciones tienden a encajar en varios temas. Esta es una lista, no necesariamente en ningún orden, que nunca podría estar terminada. 1. El forajido ""John Wesley Harding""",Song 1,Bob Dylan
"John Wesley Harding ""All Along The Watchtower"" John Wesley Harding ""The Ballad of Frankie Lee and Judas Priest"" John Wesley Harding ""Knockin' On Heaven's Door""","John Wesley Harding ""a lo largo de la torre de vigilancia"" John Wesley Harding ""La balada de Frankie Lee y Judas Sacerdote"" John Wesley Harding ""golpeando a la puerta del cielo""",Song 1,Bob Dylan
"Pat Garrett and Billy the Kid ""One More Cup Of Coffee (Valley Below)"" ""Señor (Tales of Yankee Power)""","Pat Garrett y Billy the Kid ""Una taza de café más (valle de abajo)"" ""Señor (Tales of Yankee Power)""",Song 1,Bob Dylan
"""Man In The Long Black Coat"" 5. The Protest Singer ""Blowin' In The Wind"" The Freewheelin' Bob Dylan","""Man in the Long Black Coat"" 5. El cantante de protesta ""Blowin 'in the Wind"" The Freewheelin' Bob Dylan",Song 1,Bob Dylan
"""A Hard Rain's a-Gonna Fall"" The Freewheelin' Bob Dylan ""The Times They Are A-Changin'"" The Times They Are A-Changin'","""A Hard Rain's A-Gonna Fall"" The Freewheelin 'Bob Dylan ""Las veces están cambiando"" las veces que están cambiando",Song 1,Bob Dylan
"""With God On Our Side"" The Times They Are A-Changin' Bringing It All Back Home 16. Seeker of Social Justice","""Con Dios de nuestro lado"" Las veces que están cambiando, trayendo todo de vuelta a casa 16. Buscador de la justicia social",Song 1,Bob Dylan
"""The Lonesome Death of Hattie Carroll"" The Times They Are A-Changin' 23. The Blues Rambler","""La muerte solitaria de Hattie Carroll"" The Times que están cambiando 23. The Blues Rambler",Song 1,Bob Dylan
Prince Song Lyrics I've got a brand new story Though you've heard it a time or two About a prince who kissed a girl,"Letras de la canción Prince Tengo una nueva historia, aunque lo has escuchado un momento o dos sobre un príncipe que besó a una chica",Song 2,Prince
"Right out of the blue Hey, this story ain't no tale to me now For the Prince of peace has Given me life somehow You know what I mean","Justo fuera de la nada, oye, esta historia no es ninguna historia para mí ahora porque el Príncipe de la Paz me ha dado vida de alguna manera sabes a qué me refiero",Song 2,Prince
My sleep is over I've been touched by his fire That burns from His eyes And lifts me higher and higher,"Mi sueño ha terminado, he sido tocado por su fuego que arde de sus ojos y me levanta cada vez más",Song 2,Prince
I'll live forever With Him right by my side He's comin' again On a white horse He'll ride,Viviré para siempre con él justo a mi lado que vuelva a vomitar en un caballo blanco que viajará,Song 2,Prince
He'll clothe me and crown me And He'll make me His bride You know what I mean,"Me vestirá y me coronará y me hará su novia, sabes lo que quiero decir",Song 2,Prince
You know what I mean He's comin' again On a white horse He'll ride He'll clothe me and crown me,"Sabes a qué me refiero a que vuelva a vender en un caballo blanco que cabalgará, me vestirá y me coronará",Song 2,Prince
And He'll make me His bride You know what I mean You know what I mean,"Y él me hará su novia, sabes lo que quiero decir, sabes lo que quiero decir",Song 2,Prince
"The Love Song Lyrics First time i felt it I think I was five years old I was scared, had a nightmare","Letras de la canción de amor La primera vez que lo sentí, creo que tenía cinco años, tenía miedo, tenía una pesadilla",Song 2,The Beatles
Mama was there for me to hold Daddy he was different He never said it much But I heard him loud and clear When he brought home that ball and glove And it took on a brand new meaning,"Mamá estaba allí para que yo sostuviera a papá, era diferente, nunca lo dijo mucho, pero lo escuché fuerte y claro cuando trajo a casa esa pelota y guante y asumió un significado nuevo",Song 2,The Beatles
I wasn't just a boy no more When she moved in next door... Where you from? What's your name?,No era solo un niño más cuando ella se mudó a la puerta de al lado ... ¿de dónde eres? ¿Cómo te llamas?,Song 2,The Beatles
Wanna go to my game? Got the keys to my dad's old truck Turn the radio on Still remember the song We held hands and there it was The page just kept on turning,"¿Quieres ir a mi juego? Obtuve las llaves del viejo camión de mi papá, encender la radio todavía recuerda la canción que nos tomamos de las manos y allí estaba la página que seguía girando",Song 2,The Beatles
There i was with someone else First time in my life time I wasn't livin for myself,"Allí estaba con otra persona la primera vez en mi vida, no estaba viviendo para mí",Song 2,The Beatles
"“Photograph” is the 5th radio single from x. Ed said about it that “it will be the one that will change my career path”, and hopes it will sell the album “even if the rest of the album is shit”. Lovin' can hurt Lovin' can hurt sometimes","""Fotografía"" es el quinto sencillo de radio de x. Ed dijo al respecto que ""será el que cambiará mi carrera profesional"", y espera que venda el álbum ""incluso si el resto del álbum es una mierda"". Amar a veces el amor de amor a veces puede doler",Photograph,Ed Sheeran
But it's the only thing that I know And when it gets hard You know it can get hard sometimes It is the only thing that makes us feel alive We keep this love in a photograph,"Pero es lo único que sé y cuando se pone difícil sabes que puede ser difícil a veces es lo único que nos hace sentir vivos, mantenemos este amor en una fotografía.",Photograph,Ed Sheeran
We made these memories for ourselves Where our eyes are never closin' Hearts are never broken And time's forever frozen still,"Hicimos estos recuerdos por nosotros mismos donde nuestros ojos nunca están cerca, los corazones nunca se rompen y el tiempo siempre está congelado para siempre",Photograph,Ed Sheeran
So you can keep me Inside the pocket of your ripped jeans Holdin' me closer 'til our eyes meet You won't ever be alone Wait for me to come home,"Entonces puedes mantenerme dentro del bolsillo de tus jeans rasgados manteniéndome más cerca hasta que nuestros ojos se encuentren, nunca estarás solo espere a que vuelva a casa",Photograph,Ed Sheeran
"Lovin' can heal Lovin' can mend your soul And it's the only thing that I know, know I swear it will get easier","Lovin 'puede sanar amor puede reparar tu alma y es lo único que sé, sé que juro que será más fácil",Photograph,Ed Sheeran
"Remember that with every piece of ya Mm, and it's the only thing we take with us when we die","Recuerda que con cada pieza de YA mm, y es lo único que llevamos con nosotros cuando morimos",Photograph,Ed Sheeran
"Bad Blood (Remix) Lyrics On May 17, 2015, Taylor Swift debuted her “Bad Blood” video at the Billboard Music Awards. The premiere was highly anticipated and featured a slew of notable actors and performers. It also doubled as a…","Letras de Bad Blood (Remix) El 17 de mayo de 2015, Taylor Swift debutó su video ""Bad Blood"" en los Billboard Music Awards. El estreno fue muy esperado y presentó una gran cantidad de actores e artistas notables. También se duplicó como un ...",Bad Blood,Taylor Swift
"[Intro: Taylor Swift & 'Cause, baby, now we've got bad blood You know it used to be mad love ( So take a look what you've done (","[Introducción: Taylor Swift & 'Cause, bebé, ahora tenemos mala sangre, sabes que solía ser un amor loco (así que mira lo que has hecho (",Bad Blood,Taylor Swift
"‘Cause, baby, now we've got bad blood ( ), hey! ( I can't take it back, look where I'm at (Uh)","‘Porque, bebé, ahora tenemos sangre mala (), ¡oye! (No puedo recuperarlo, mira donde estoy (uh)",Bad Blood,Taylor Swift
"We was OG like D.O.C., remember that? (Remember that?) My TLC was quite OD, ID my facts (ID my) Now POV of you and me, similar Iraq I don't hate you, but I hate to critique, overrate you These beats of a dark heart, use basslines to replace you","Estábamos como D.O.C., ¿recuerdas eso? (¿Recuerdas eso?) Mi TLC fue bastante OD, id de mis hechos (Id my) ahora POV de ti y de mí, Iraq similar, no te odio, pero odio criticarte, sobrevalúarte estos ritmos de un corazón oscuro, usar líneas de bajo para reemplazarte",Bad Blood,Taylor Swift
"Take time and erase you, love don't hear no more No, I don't fear no more Better yet, respect ain't quite sincere no more, ah! Oh, it's so sad to Think about the good times","Tómese el tiempo y borrelo, el amor no escuche más no, no me temo más aún, el respeto ya no es sincero, ¡ah! Oh, es muy triste pensar en los buenos tiempos",Bad Blood,Taylor Swift
"You and I [Chorus: Taylor Swift & 'Cause, baby, now we've got bad blood You know it used to be mad love So take a look what you've done","Tú y yo [Coro: Taylor Swift & 'Cause, bebé, ahora tenemos mala sangre, sabes que solía ser un amor loco, así que eche un vistazo a lo que has hecho",Bad Blood,Taylor Swift
"'Cause, baby, now we've got bad blood, hey! Now we've got problems And I don't think we can solve 'em ( You made a really deep cut ( And, baby, now we've got bad blood, hey! (","Porque, cariño, ahora tenemos mala sangre, ¡oye! Ahora tenemos problemas y no creo que podamos resolverlos (hiciste un corte realmente profundo (y, cariño, ahora tenemos mala sangre, ¡oye! (",Bad Blood,Taylor Swift
"Sea Pictures, Op. 37 No. 1: Sea Slumber Song - Single Lyrics Sea birds are asleep The world forgets to weep Sea murmurs her soft slumber-song","Fotos de mar, op. 37 No. 1: Sea Slumber Song - Single Lyrics Birds Sea Are Sleep the World Olvida a llorar a Sea Murmurs su suave zumbido",Song 1,Rihanna
"On the shadowy sand Of this elfin land; ‘I, the Mother mild Hush thee, oh my child Forget the voices wild!","En la arena sombría de esta tierra elfina; ‘Yo, la madre, suave silencio, ¡oh mi hijo olvida las voces salvajes!",Song 1,Rihanna
"Isles in elfin light Dream, the rocks and caves Lulled by whispering waves Veil their marbles bright Foam glimmers faintly white","Las islas en Elfin Light Dream, las rocas y las cuevas arrulladas por ondas susurrantes velas de marcar que brilla de espuma brillante y ligeramente blancas",Song 1,Rihanna
"Upon the shelly sand Of this elfin land; Sea-sound, like violins To slumber woos and wins I murmur my soft slumber-song","Sobre la arena Shelly de esta tierra elfina; Sound-sound, como los violines para dar un sueño boos y gana, murmura mi suave residencia de sueño",Song 1,Rihanna
"Leave woes, and wails, and sins Ocean’s shadowy might Breathes good night","Deja los problemas y los gemidos, y los pecados, el sombrío Ocean, puede respirar buenas noches",Song 1,Rihanna
The Wedding Song (2021 Remaster) Lyrics These are silver wings These are golden eyes,La canción de la boda (2021 remaster),Song 2,David Bowie
These are floating clouds Angel for life Dreaming alone and I feel that someone (Someone) Listens to me,Estas son nubes flotantes ángel para la vida soñando solo y siento que alguien (alguien) me escucha,Song 2,David Bowie
Angel for life These are silver wings These are golden eyes These are floating clouds,"Angel para la vida, estas son alas plateadas, estos son ojos dorados, estos son nubes flotantes",Song 2,David Bowie
Angel for life Heaven is smiling down Hеaven's girl in a wedding gown I'm gonna be so good Just likе a good boy should,Angel For Life Heaven está sonriendo a la niña de la que,Song 2,David Bowie
I'm gonna change my ways Angel for life Of all the saints alive,Voy a cambiar mis caminos ángel por la vida de todos los santos vivos,Song 2,David Bowie
Don't I feel like a saint alive? She's not mine for eternity Though I'll never fly so high,"¿No me siento como un santo vivo? Ella no es mía por la eternidad, aunque nunca volaré tan alto",Song 2,David Bowie
The Frog Song Lyrics I'm a little merry frog And I am another That old lady on the log She's our darling mother,Letras de la canción de la rana Soy un pequeño feliz rana y soy otra que la anciana en el registro es nuestra querida madre,Song 1,Maroon 5
Father had his legs cut off But the Frenchmen ate them Naughty wicked cannibals! How we froggies hate them!,"Padre le cortaron las piernas, ¡pero los franceses se las comieron malvados caníbales malvados! ¡Cómo los odiamos!",Song 1,Maroon 5
"Knee deep, Knee deep. Nee-deep nee-deep nee-deep nee-deep We're a pair of happy froggies Singing in the ponds and boggies Knee deep (etc.) When we see a naughty boy, in we go, kah-chung","Rodilla profunda, rodilla profunda. Nee-Depe-Deep Nee-Depe-Deep Nee-Depe, somos un par de Froggies felices que cantan en los estanques y Boggies, la rodilla (etc.) cuando vemos a un niño travieso, en We Go, Kah-Chung",Song 1,Maroon 5
"Good Saint Patrick, so they say Kicked us out of Erin But we're mighty glad to stay In the land that we're in","Buena San Patricio, así que dicen que nos echó de Erin, pero estamos muy contentos de quedarnos en la tierra en la que estamos",Song 1,Maroon 5
If the naughty boys would be And quit their naughty throwin' There's one now-- Good gracious me! We had bеst be goin'!,"Si los muchachos traviesos lo seran y dejaran su travieso lanzando, hay uno ahora, ¡bueno, ¡bueno! ¡Nos habíamos ido bien!",Song 1,Maroon 5
"Knee deep, knee deep. Beh-dah-dee, beh-dah-dee We're a pair of happy froggies Singing in the ponds and boggies Knee deep, (etc.)","Rodilla profunda, rodilla profunda. Beh-dah-dee, beh-dah-dee somos un par de ranas felices cantando en los estanques y boggies de rodilla, (etc.)",Song 1,Maroon 5
"Shape of You Lyrics Ed Sheeran released “Shape of You” together with “Castle On The Hill.” The two songs were the first releases from his third album, ÷ (Divide), following in the mathematical footsteps of his +  (Plus) and x… A club isn't the best place to find a lover So the bar is where I go (Mm) Me and my friends at the table doin' shots","La letra de la forma de ti, Ed Sheeran, lanzó ""Shape of You"" junto con ""Castle on the Hill"". Las dos canciones fueron los primeros lanzamientos de su tercer álbum, ÷ (Divide), siguiendo los pasos matemáticos de su + (más) y X ... Un club no es el mejor lugar para encontrar un amante, por lo que el bar es a donde voy (mm) mis amigos en la mesa haciendo tiros.",Shape of You,Ed Sheeran
"Drinkin' fast and then we talk slow (Mm) And you come over and start up a conversation with just me And trust me, I'll give it a chance now (Mm) Take my hand, stop, put Van the Man on the jukebox","Bebiendo rápido y luego hablamos lento (mm) y vienes y te inicias una conversación conmigo solo y confía en mí, le daré una oportunidad ahora (mm) Toma mi mano, detente, ponte a Van the Man en el jukebox",Shape of You,Ed Sheeran
"And then we start to dance, and now I'm singin' like Girl, you know I want your love Your love was handmade for somebody like me","Y luego empezamos a bailar, y ahora estoy cantando como chica, sabes que quiero tu amor, tu amor fue hecho a mano para alguien como yo",Shape of You,Ed Sheeran
"Well, come on now, follow my lead I may be crazy, don't mind me Say, ""Boy, let's not talk too much""","Bueno, vamos ahora, sigue mi ejemplo, puedo estar loco, no te importa que diga: ""Chico, no hablemos demasiado""",Shape of You,Ed Sheeran
"Grab on my waist and put that body on me Well, come on now, follow my lead Come, come on now, follow my lead, mm I'm in love with the shape of you","Agarra mi cintura y ponme ese cuerpo bien, vamos ahora, sigue mi liderazgo, vamos ahora, sigue mi ejemplo, mm estoy enamorado de la forma de ti",Shape of You,Ed Sheeran
"We push and pull like a magnet do Although my heart is fallin' too I'm in love with your body And last night, you were in my room","Empujamos y tiramos como un imán, aunque mi corazón se enamora también, estoy enamorado de tu cuerpo y anoche estabas en mi habitación",Shape of You,Ed Sheeran
"And now my bed sheets smell like you Every day, discoverin' somethin' brand new Well, I'm in love with your body","Y ahora mis sábanas huelen a ti todos los días, descubriendo algo nuevo, estoy enamorado de tu cuerpo",Shape of You,Ed Sheeran
"Black Tape Song 25 (Any Man / Closer) Lyrics ""Hi! Something's not right Sorry, I'm mentally retarded Slim Shady, I think that's my name—",Canción de cinta negra 25 (Any Man/ Closer),Song 2,Eminem
"Original Bad Boy on the case, cover your face Came in the place, blowed, and sprayed Puffy with mace I laced the weed with insect repellant, better check the smellin' Eminem starts with ""E"", better check the spellin' With a capital, somebody grab me a Snapple","Chico malo original en la caja, cubrir tu cara entró en el lugar, soplé y rocié hinchado con maza, até la hierba con repelente de insectos, mejor verificar el olor que Eminem comienza con ""e"", mejor verificar el hechizo con un capital, alguien me agarra un Snapple",Song 2,Eminem
"I got an aspirin capsule trapped in my Adam's apple Somebody dropped me on my head, and I'm for sure That my mother did it, but the bitch won't admit it was her I slit her stomach open with a scalpel","Obtuve una cápsula de aspirina atrapada en mi manzana de Adán, alguien me dejó caer sobre mi cabeza, y estoy seguro de que mi madre lo hizo, pero la perra no admitirá que fue ella que le abre el estómago con un bisturí",Song 2,Eminem
"When she was six months, and said: ""I'm ready now, bitch! Ain't you feelin' these kicks, cunt?!"" The world ain't ready for me yet, I can tell I'll probably have a cell next to the furnace in Hell I'm sicker than sperm cells with syphilis germs","Cuando tenía seis meses y dijo: ""¡Estoy lista ahora, ¡perra! ¿No estás sintiendo estas patadas, coño?!"" El mundo aún no está listo para mí, puedo decir que probablemente tendré una celda al lado del horno en el infierno, estoy más enfermo que las células de los espermatozoides con gérmenes de sífilis",Song 2,Eminem
And I'm hotter than my dick is when I piss and it burns I kick you in the tummy until you sick to your stomach And vomit so much blood that your clothes stick to you from it Hit you in the head with a brick 'til you plummet,"Y estoy más caliente que mi polla es cuando me enojo y me arde, te pateo en la barriga hasta que te enfermas hacia el estómago y vomitan tanta sangre que tu ropa te pegue de él te golpea en la cabeza con un ladrillo hasta que te cagas",Song 2,Eminem
"If y'all don't like me, you can suck my dick 'til you numb it And all that gibberish you was spittin', you need to kill it 'Cause your style is like dying in my sleep; I don't feel it 'Cause any man who would jump in front of a minivan For twenty grand, a bottle of pain pills, and a minithin Is fuckin' crazy, you hear me? (Huh?)","Si no les gusto, puedes chuparme la polla hasta que lo adormezcas y todo ese galimatías te estuviste gastando, debes matarlo porque tu estilo es como morir en mi sueño; No lo siento porque a cualquier hombre que salte frente a una minivan por veinte mil dólares, una botella de píldoras de dolor, y un minithin está loco, ¿me oyes? (¿Eh?)",Song 2,Eminem
"Lady Gaga’s US Career Album & Single Sales, Song Streams (Feb, 2019) Lyrics On Febrary 10th, 2019, Billboard gave fans an update on Gaga’s US Album & Single Sales, plus her highest song streams. 4.8 million: The Fame 2.4 million: Born This Way","El álbum de carrera y ventas de su single de Lady Gaga, Song Streams (febrero de 2019) el 10 de febrero de 2019, Billboard le dio a los fanáticos una actualización sobre el álbum y las ventas de un solo álbum de Gaga, más sus transmisiones de canciones más altas. 4.8 millones: la fama 2.4 millones: nacido de esta manera",Song 2,Lady Gaga
"1.6 million: The Fame Monster (EP) 780,000: A Star Is Born (Soundtrack) 773,000: Cheek to Cheek (with Tony Bennett) 316,000: The Remix 62,000: Born This Way: The Remix","1.6 millones: The Fame Monster (EP) 780,000: A Star Is Born (Banda sonora) 773,000: Cheek to Cheek (con Tony Bennett) 316,000: The Remix 62,000: Born This Way: The Remix",Song 2,Lady Gaga
"46,000: A Very Gaga Holiday 7.5 million: ""Poker Face,"" 7.2 million: ""Just Dance"" (feat. Colby O'Donis) 5.9 million; ""Bad Romance,"" 4.3 million; ""Born This Way,""","46,000: unas vacaciones muy gaga 7.5 millones: ""Poker Face"", 7.2 millones: ""Just Dance"" (Feat. Colby O'Donis) 5.9 millones; ""Mal romance"", 4.3 millones; ""Nacido de esta manera""",Song 2,Lady Gaga
"3.6 million; ""Paparazzi,"" 3.5 million; ""Telephone"" (feat. Beyonce) 3 million; ""The Edge of Glory,"" 2.7 million; ""Applause,"" 2.67 million; ""LoveGame,"" 2.63 million; ""Alejandro,""","3.6 millones; ""Paparazzi"", 3.5 millones; ""Teléfono"" (Feat. Beyonce) 3 millones; ""The Edge of Glory"", 2.7 millones; ""Aplausos"", 2.67 millones; ""Guame de amor"", 2.63 millones; ""Alejandro""",Song 2,Lady Gaga
"2.4 million; ""You and I,"" 1.3 million; ""Do What U Want"" (feat. R. Kelly) 1.1 million; ""Million Reasons,""","2.4 millones; ""Tú y yo"", 1.3 millones; ""Haz lo que quieras"" (feat. R. Kelly) 1.1 millones; ""Millones de razones""",Song 2,Lady Gaga
Border Song (Live 1974) Lyrics Holy Moses I have been removed I have seen the spectre he has been here too,Border Song (Live 1974) Letras Holy Moses Me ha eliminado He visto el espectro que ha estado aquí también,Song 1,Elton John
Distant cousin from down the line Brand of people who ain't my kind Holy Moses I have been removed Holy Moses I have been deceived Now the wind has changed direction and I'll have to leave,Primo lejano de la marca de la línea de personas que no son mi amable Santo Moisés Me han quitado el Santo Moses. Me han engañado ahora el viento ha cambiado de dirección y tendré que irme,Song 1,Elton John
"Won't you please excuse my frankness but it's not my cup of tea Holy Moses I have been deceived I'm going back to the border Where my affairs, my affairs ain't abused","¿No podrías disculpar mi franqueza, pero no es mi taza de té Santo Moisés? He sido engañado, estoy volviendo a la frontera donde mis asuntos, mis asuntos no han sido abusados.",Song 1,Elton John
I can't take any more bad water Been poisoned from my head down to my shoes Holy Moses I have been deceived Holy Moses let us live in peace,"No puedo tomar más agua mal envenenada de mi cabeza a mis zapatos Santo Moisés. He sido engañado Santo Moisés, viva en paz",Song 1,Elton John
Let us strive to find a way to make all hatred cease There's a man over there What's his colour I don't care He's my brother let us live in peace,"Nos esforzemos por encontrar una manera de hacer que todo el odio cese, hay un hombre allá de lo que es su color, no me importa que sea mi hermano, déjanos vivir en paz",Song 1,Elton John
He's my brother let us live in peace He's my brother let us live in peace,"Él es mi hermano, déjanos vivir en paz, él es mi hermano, déjanos vivir en paz",Song 1,Elton John
The Frog Song Lyrics I'm a little merry frog And I am another That old lady on the log She's our darling mother Father had his legs cut off,Letras de la canción de la rana Soy un pequeño feliz rana y soy otra que la anciana en el tronco es nuestra querida madre padre le cortaron las piernas,Song 4,Maroon 5
"But the Frenchmen ate them Naughty wicked cannibals! How we froggies hate them! Knee deep, Knee deep. Nee-deep nee-deep nee-deep nee-deep We're a pair of happy froggies","¡Pero los franceses los comieron caníbales malvados traviesos! ¡Cómo los odiamos! Rodilla profunda, rodilla profunda. Nee-Depe-DepeP nee-profunde-de-profunda somos un par de ranas felices",Song 4,Maroon 5
"Singing in the ponds and boggies Knee deep (etc.) When we see a naughty boy, in we go, kah-chung Good Saint Patrick, so they say Kicked us out of Erin But we're mighty glad to stay","Cantando en los estanques y boggies rodilla profundamente (etc.) Cuando vemos a un niño travieso, en We Go, Kah-Chung Good Saint Patrick, por lo que dicen que nos echó de Erin, pero estamos muy contentos de quedarse",Song 4,Maroon 5
In the land that we're in If the naughty boys would be And quit their naughty throwin' There's one now-- Good gracious me!,"En la tierra en la que estamos si los chicos traviesos estarían y dejarían su travieso lanzando, hay uno ahora, ¡bueno, bueno, yo!",Song 4,Maroon 5
"We had bеst be goin'! Knee deep, knee deep. Beh-dah-dee, beh-dah-dee We're a pair of happy froggies Singing in the ponds and boggies","¡Nos habíamos ido bien! Rodilla profunda, rodilla profunda. Beh-dah-dee, beh-dah-dee somos un par de ranas felices cantando en los estanques y boggies",Song 4,Maroon 5
"Knee deep, (etc.) When we see a naughty boy, in we go, kah-choo","Rodilla profunda, (etc.) Cuando vemos a un niño travieso, en We Go, Kah-Choo",Song 4,Maroon 5
Queen Song Pt. 2 Lyrics If my shitty apartment could talk I think the walls would call me out,"Reina canción pt. 2 letras Si mi apartamento de mierda pudiera hablar, creo que las paredes me llamarían",Song 2,Queen
