English,Spanish
"When marimbas start to play","Cuando las marimbas empiezan a sonar"
"Hold me close, make me sway","Abrázame fuerte, hazme balancear"
"Like a lazy ocean hugs the shore","Como un océano tranquilo abraza la orilla"
"Hold me close, sway me more","Abrázame fuerte, hazme balancear más"
"Like a flower bending in the breeze","Como una flor que se inclina en la brisa"
"Bend with me, sway with ease","Inclínate conmigo, balancea con suavidad"
"When we dance, you have a way with me","Cuando bailamos, tienes un efecto en mí"
"Stay with me, sway with me","Quédate conmigo, balancea conmigo"
"I love you","te amo"
"you are my everything","eres mi todo"
"my heart beats for you","mi corazón late por ti"
"I can't live without you","no puedo vivir sin ti"
"you complete me","me completas"
"forever and always","por siempre y para siempre"
"my love for you is eternal","mi amor por ti es eterno"
"you are my sunshine","eres mi rayito de sol"
"I will always love you","siempre te amaré"
"you stole my heart","robaste mi corazón"
"my heart is broken","mi corazón está roto"
"I miss you so much","te extraño tanto"
"why did you leave me","por qué me dejaste"
"the pain never goes away","el dolor nunca se va"
"I thought we were forever","pensé que éramos para siempre"
"tears falling down","lágrimas cayendo"
"empty nights without you","noches vacías sin ti"
"I still love you","aún te amo"
"you broke my heart","rompiste mi corazón"
"memories haunt me","los recuerdos me persiguen"
"I am stronger now","soy más fuerte ahora"
"nothing can stop me","nada puede detenerme"
"I will survive","sobreviviré"
"this is my time","este es mi momento"
"I believe in myself","creo en mí mismo"
"the world is mine","el mundo es mío"
"I can do anything","puedo hacer cualquier cosa"
"never give up","nunca te rindas"
"rise from the ashes","levántate de las cenizas"
"I am unstoppable","soy imparable"
"let's dance all night","bailemos toda la noche"
"the party never ends","la fiesta nunca termina"
"feel the rhythm","siente el ritmo"
"music is my life","la música es mi vida"
"turn up the volume","sube el volumen"
"hands in the air","manos en el aire"
"we are here to party","estamos aquí para festejar"
"dance like nobody's watching","baila como si nadie te viera"
"this beat is fire","este ritmo es fuego"
"let the music play","deja que la música suene"
"on the road again","en el camino otra vez"
"chasing dreams","persiguiendo sueños"
"the world is waiting","el mundo está esperando"
"adventure calls me","la aventura me llama"
"new beginnings","nuevos comienzos"
"finding myself","encontrándome a mí mismo"
"wanderlust in my soul","ansia de viajar en mi alma"
"exploring new horizons","explorando nuevos horizontes"
"the journey begins","el viaje comienza"
"follow your heart","sigue tu corazón"
"after the storm comes calm","después de la tormenta viene la calma"
"every cloud has a silver lining","no hay mal que por bien no venga"
"time heals all wounds","el tiempo cura todas las heridas"
"better days are coming","vienen días mejores"
"the sun will rise again","el sol saldrá de nuevo"
"hope never dies","la esperanza nunca muere"
"light after darkness","luz después de la oscuridad"
"new chapter begins","un nuevo capítulo comienza"
"learning to fly again","aprendiendo a volar de nuevo"
"stronger than before","más fuerte que antes"
"you don't know I exist","no sabes que existo"
"secret admirer","admirador secreto"
"from afar I love you","desde lejos te amo"
"if only you knew","si tan solo supieras"
"my silent love","mi amor silencioso"
"dreaming of you","soñando contigo"
"you are my fantasy","eres mi fantasía"
"unspoken words","palabras no dichas"
"hidden feelings","sentimientos ocultos"
"what could have been","lo que pudo haber sido"
"shape of you","forma de ti"
"bad guy","chico malo"
"blinding lights","luces cegadoras"
"dance monkey","mono bailarín"
"watermelon sugar","azúcar de sandía"
"levitating","levitando"
"save your tears","guarda tus lágrimas"
"don't start now","no empieces ahora"
"physical","físico"
"break my heart","rompe mi corazón"
"rainy days and Mondays","días lluviosos y lunes"
"whiskey and memories","whisky y recuerdos"
"lonely nights","noches solitarias"
"empty streets","calles vacías"
"echoes of your voice","ecos de tu voz"
"fading memories","recuerdos que se desvanecen"
"what might have been","lo que pudo haber sido"
"ghost of your love","fantasma de tu amor"
"silent tears","lágrimas silenciosas"
"the sound of goodbye","el sonido del adiós"
"brighter days ahead","días más brillantes por venir"
"hope in my heart","esperanza en mi corazón"
"new beginnings await","nuevos comienzos esperan"
"the best is yet to come","lo mejor está por venir"
"dreams come true","los sueños se hacen realidad"
"believe in miracles","cree en los milagros"
"love will find a way","el amor encontrará un camino"
"never lose hope","nunca pierdas la esperanza"
"light at the end","luz al final del túnel"
"second chances","segundas oportunidades"
"Get up on the floor","Levántate a la pista"
"Dancin' all night long","Bailando toda la noche"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin'","Bailando"
"All the time","Todo el tiempo"
"My baby, you on my mind","Cariño, estás en mi mente"
"And I don't know why","Y no sé por qué"
"Yeah, but the feeling is fine","Sí, pero la sensación es buena"
"Can't you see?","¿No lo ves?"
"Yo' honey you are for me, oh","Cariño, eres para mí, oh"
"We were meant to be","Estábamos destinados a estar juntos"
"Dancin' in the moonlight","Bailando bajo la luz de la luna"
"Gazing at the stars so bright","Mirando las estrellas tan brillantes"
"Holding you until the sunrise","Abrazándote hasta el amanecer"
"Sleeping until the midnight","Durmiendo hasta la medianoche"
"Get up on the floor","Levántate a la pista"
"Dancin' all night long","Bailando toda la noche"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin'","Bailando"
"Dancin' is what to do","Bailar es lo que hay que hacer"
"Dancin' when I think of you","Bailo cuando pienso en ti"
"Dancin' is what clears my soul","Bailar es lo que limpia mi alma"
"Dancin' is what makes me whole","Bailar es lo que me hace completo"
"Dancin' is what to do","Bailar es lo que hay que hacer"
"Dancin' when I think of you","Bailo cuando pienso en ti"
"Dancin' is what clears my soul","Bailar es lo que limpia mi alma"
"Dancin' is what makes me whole","Bailar es lo que me hace completo"
"Everytime when I look in your eyes","Cada vez que miro en tus ojos"
"I smile with pride happy that you're mine","Sonrío con orgullo feliz de que seas mío"
"Joy in love, your love is true, I know","Alegría en el amor, tu amor es verdadero, lo sé"
"You are the best thing that has happened to me, ah","Eres lo mejor que me ha pasado, ah"
"Get up on the floor","Levántate a la pista"
"Dancin' all night long","Bailando toda la noche"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin'","Bailando"
"Dancin' is what to do","Bailar es lo que hay que hacer"
"Dancin' when I think of you","Bailo cuando pienso en ti"
"Dancin' is what clears my soul","Bailar es lo que limpia mi alma"
"Dancin' is what makes me whole","Bailar es lo que me hace completo"
"Dancin' is what to do","Bailar es lo que hay que hacer"
"Dancin' when I think of you","Bailo cuando pienso en ti"
"Dancin' is what clears my soul","Bailar es lo que limpia mi alma"
"Dancin' is what makes me whole","Bailar es lo que me hace completo"
"Get up on the floor","Levántate a la pista"
"Dancin' all night long","Bailando toda la noche"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin' (oh)","Bailando (oh)"
"Get up on the floor","Levántate a la pista"
"Dancin' all night long","Bailando toda la noche"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin' till the break of dawn","Bailando hasta el amanecer"
"Get up on the floor","Levántate a la pista"
"Dancin' (oh)","Bailando (oh)"
"Dancin' is what to do","Bailar es lo que hay que hacer"
"Dancin' when I think of you","Bailo cuando pienso en ti"
"Dancin' is what clears my soul","Bailar es lo que limpia mi alma"
"Dancin' is what makes me whole","Bailar es lo que me hace completo"
"Dancin' is what to do","Bailar es lo que hay que hacer"
"Dancin' when I think of you","Bailo cuando pienso en ti"
"Dancin' is what clears my soul","Bailar es lo que limpia mi alma"
"Dancin' is what makes me whole","Bailar es lo que me hace completo"
"Dancin' is what to do","Bailar es lo que hay que hacer"
"Dancin' when I think of you","Bailo cuando pienso en ti"
"Dancin' is what clears my soul","Bailar es lo que limpia mi alma"
"Dancin' is what makes me whole","Bailar es lo que me hace completo"
"Dancin' is what to do","Bailar es lo que hay que hacer"
"Dancin' when I think of you","Bailo cuando pienso en ti"
"Dancin' is what clears my soul","Bailar es lo que limpia mi alma"
"Dancin' is what makes me whole","Bailar es lo que me hace completo"
"Is this the real life?","¿Es esta la vida real?"
"Is this just fantasy?","¿Es solo fantasía?"
"Caught in a landslide, no escape from reality","Atrapado en un deslizamiento de tierra, sin escape de la realidad"
"Open your eyes, look up to the skies and see","Abre tus ojos, mira hacia el cielo y ve"
"I'm just a poor boy, I need no sympathy","Soy solo un chico pobre, no necesito compasión"
"Because I'm easy come, easy go, little high, little low","Porque vengo fácil, me voy fácil, un poco alto, un poco bajo"
"Any way the wind blows, doesn't really matter to me, to me","De cualquier manera que sople el viento, realmente no me importa, no me importa"
